Sample	Coalescent Time	First Ascertained	First Unascertained	IndexAtCoalescent
1143	19.286315960594454	24.226510	7.331755	0
2426	2.1549599999999973	3.205430	4.057340	1
1845	5.29688	16.938555	5.564425	0
0891	26.00329206675884	12.289185	5.150880	0
2933	18.62011	11.711025	15.469795	0
4236	6.32107	11.294195	3.212000	1
1349	16.0016	2.364105	7.635800	0
0484	6.052794999999998	14.650005	3.514950	0
3456	19.401594278308625	16.491795	5.719550	0
3361	57.105345	25.749655	9.407145	0
3333	16.953884999999996	15.918380	15.139835	0
1006	29.08904000000001	17.063385	6.842290	0
4465	4.984805000000005	13.236360	3.488670	0
3965	19.1698	11.754095	6.147330	0
0156	22.438010000000002	2.978035	9.427585	1
0357	9.519929999999999	16.116940	8.178920	0
4520	20.540249432081268	21.294830	17.217415	0
0924	15.068615848755552	12.274950	8.563995	0
4151	1.2304149999999996	9.764480	5.431200	0
3806	20.66666499999999	15.240940	15.333650	0
0987	6.8446624999999965	9.745865	2.957230	0
3953	1.895080000000002	6.927335	2.830210	1
1336	3.571524999999996	15.544255	2.814880	0
0943	20.161140000000014	27.616630	7.819395	0
2285	23.93499067336734	18.980000	11.041250	0
1190	29.397100000000002	11.045265	2.703920	0
3000	8.747484645344516	14.666065	2.971830	0
2815	14.945230585356045	17.332390	5.847300	0
4085	19.091689999999996	14.722640	6.414875	0
0658	14.006145000000002	12.592865	2.987160	0
1459	24.006414999999997	30.022345	19.114685	0
2377	14.479915	25.458020	3.633940	0
2207	20.16479	18.284675	4.424165	0
2872	20.595125	19.425665	2.054220	0
2505	5.139565000000006	9.419190	0.578160	0
2122	18.643834999999996	18.674130	5.404190	0
0633	17.622200000000007	15.691715	9.672135	1
1370	19.872681479285504	33.638400	10.476960	0
2696	12.276775000000002	15.414680	1.060690	0
2487	17.12069	3.375155	11.035045	0
0002	25.5955964818954	10.270370	6.941570	0
4011	9.67906999999999	8.490630	12.552350	0
4279	29.0281634014151	9.936030	3.440855	0
0442	6.43611608691821	15.243495	9.949900	0
0223	22.075564999999997	21.198105	5.210740	0
3533	62.90811500000001	8.413615	9.188510	0
0714	6.119589999999996	8.939945	3.920465	0
2412	29.482692500000006	20.394740	11.682555	0
3552	45.717345	37.292050	10.572225	0
2736	22.39347999999999	16.829785	4.330725	0
3239	0.7248900000000107	19.071250	8.842125	0
0035	1.4464949999999928	11.664305	3.090820	0
1438	37.40264499999999	13.545515	4.366130	0
2534	13.980457229092583	21.288260	10.464185	0
4399	10.677345	3.198495	6.245880	0
3124	11.31719	10.675885	14.311285	1
4223	10.124735	12.219835	3.323325	0
3596	49.91359937681892	11.142720	9.081200	0
0578	4.321116349436067	8.772045	4.635135	0
1391	10.126308877022723	13.870730	3.705845	0
1897	23.649810000000002	23.606010	2.345855	0
2672	9.717030000000003	17.313775	5.996950	0
2725	6.696127036740631	5.758970	8.866215	0
0775	23.440944954060697	31.576515	10.559815	0
1297	18.255110000000002	17.490435	7.659890	0
